record_id,standard_code,record_type,title,machine_extraction_status,excerpt_count,reference_labels,extracted_text,issues,reviewer_decision,reviewer_notes
GB22239-FW-012,GB/T 22239—2019,requirement-control,网络边界安全审计覆盖,Extracted,3,7.1.3.5 a | 8.1.3.5 a | 9.1.3.5 a,"7 . 1 . 3 . 5    安全审计
a)   应在网络边界、重要网络节点进行安全审计 , 审计覆盖到每个用户 , 对重要的用户行为和重要安全事件进行审计 ;

--- EXCERPT ---

8 . 1 . 3 . 5    安全审计
a)   应在网络边界、重要网络节点进行安全审计 , 审计覆盖到每个用户 , 对重要的用户行为和重要安全事件进行审计 ;

--- EXCERPT ---

9 . 1 . 3 . 5    安全审计
a)   应在网络边界、重要网络节点进行安全审计,审计覆盖到每个用户,对重要的用户行为和重要安全事件进行审计 ;",,,
GB22239-FW-013,GB/T 22239—2019,requirement-control,审计记录字段完整,Extracted,3,7.1.3.5 b | 8.1.3.5 b | 9.1.3.5 b,"7 . 1 . 3 . 5    安全审计
b)   审计记录应包括事件的日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息 ;

--- EXCERPT ---

8 . 1 . 3 . 5    安全审计
b)   审计记录应包括事件的 日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息 ;

--- EXCERPT ---

9 . 1 . 3 . 5    安全审计
b)   审计记录应包括事件的 日期和时间、用户、事件类型、事件是否成功及其他与审计相关的信息 ;",,,
GB22239-FW-014,GB/T 22239—2019,requirement-control,审计记录保护与定期备份,Extracted,3,7.1.3.5 c | 8.1.3.5 c | 9.1.3.5 c,"7 . 1 . 3 . 5    安全审计
c)   应对审计记录进行保护,定期备份,避免受到未预期的删除、修改或覆盖等。

--- EXCERPT ---

8 . 1 . 3 . 5    安全审计
c)    应对审计记录进行保护 , 定期备份 , 避免受到未预期的删除、修改或覆盖等 ;

--- EXCERPT ---

9 . 1 . 3 . 5    安全审计
c)   应对审计记录进行保护,定期备份,避免受到未预期的删除、修改或覆盖等。",,,
GB22239-FW-015,GB/T 22239—2019,requirement-control,远程访问及互联网访问行为单独审计,Extracted,1,8.1.3.5 d,"8 . 1 . 3 . 5    安全审计
d)   应能对远程访问的用户行为、访问互联网的用户行为等单独进行行为审计和数据分析。",,,
GB22239-FW-016,GB/T 22239—2019,requirement-control,管理登录身份唯一、鉴别信息复杂并定期更换,Extracted,4,6.1.4.1 a | 7.1.4.1 a | 8.1.4.1 a | 9.1.4.1 a,"6 . 1 . 4 . 1      身份鉴别
a)   应对登录的用户进行身份标识和鉴别,身份标识具有唯一性,身份鉴别信息具有复杂度要求并定期更换 ;

--- EXCERPT ---

7 . 1 . 4 . 1      身份鉴别
a)   应对登录的用户进行身份标识和鉴别,身份标识具有唯一性,身份鉴别信息具有复杂度要求并定期更换 ;

--- EXCERPT ---

8 . 1 . 4 . 1      身份鉴别
a)   应对登录的用户进行身份标识和鉴别,身份标识具有唯一性,身份鉴别信息具有复杂度要求并定期更换 ;

--- EXCERPT ---

9 . 1 . 4 . 1      身份鉴别
a)   应对登录的用户进行身份标识和鉴别,身份标识具有唯一性,身份鉴别信息具有复杂度要求并定期更换 ;",,,
GB22239-FW-017,GB/T 22239—2019,requirement-control,登录失败处理和会话超时,Extracted,4,6.1.4.1 b | 7.1.4.1 b | 8.1.4.1 b | 9.1.4.1 b,"6 . 1 . 4 . 1      身份鉴别
b)   应具有登录失败处理功能,应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施。

--- EXCERPT ---

7 . 1 . 4 . 1      身份鉴别
b)   应具有登录失败处理功能,应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施 ;

--- EXCERPT ---

8 . 1 . 4 . 1      身份鉴别
b)   应具有登录失败处理功能,应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施 ;

--- EXCERPT ---

9 . 1 . 4 . 1      身份鉴别
b)   应具有登录失败处理功能,应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施 ;",,,
GB22239-FW-018,GB/T 22239—2019,requirement-control,管理用户多因素身份鉴别,Extracted,2,8.1.4.1 d | 9.1.4.1 d,"8 . 1 . 4 . 1      身份鉴别
d)   应采用口令、密码技术、生物技术等两种或两种以上组合的鉴别技术对用户进行身份鉴别,且其中一种鉴别技术至少应使用密码技术来实现。

--- EXCERPT ---

9 . 1 . 4 . 1      身份鉴别
d)   应采用口令、密码技术、生物技术等两种或两种以上组合的鉴别技术对用户进行身份鉴别,且其中一种鉴别技术至少应使用密码技术来实现。",,,
GB22239-FW-019,GB/T 22239—2019,requirement-control,远程管理鉴别信息传输保护,Extracted,3,7.1.4.1 c | 8.1.4.1 c | 9.1.4.1 c,"7 . 1 . 4 . 1      身份鉴别
c)    当进行远程管理时,应采取必要措施防止鉴别信息在网络传输过程中被窃听。

--- EXCERPT ---

8 . 1 . 4 . 1      身份鉴别
c)    当进行远程管理时,应采取必要措施防止鉴别信息在网络传输过程中被窃听 ;

--- EXCERPT ---

9 . 1 . 4 . 1      身份鉴别
c)    当进行远程管理时,应采取必要措施防止鉴别信息在网络传输过程中被窃听 ;",,,
GB22239-FW-020,GB/T 22239—2019,requirement-control,默认、过期、多余和共享账户治理,Extracted,4,6.1.4.2 b-c | 7.1.4.2 b-c | 8.1.4.2 b-c | 9.1.4.2 b-c,"6 . 1 . 4 . 2    访问控制
b)   应重命名或删除默认账户,修改默认账户的默认口令 ;
c)    应及时删除或停用多余的、过期的账户,避免共享账户的存在。

--- EXCERPT ---

7 . 1 . 4 . 2    访问控制
b)   应重命名或删除默认账户,修改默认账户的默认口令 ;
c)    应及时删除或停用多余的、过期的账户,避免共享账户的存在 ;

--- EXCERPT ---

8 . 1 . 4 . 2    访问控制
b)   应重命名或删除默认账户,修改默认账户的默认口令 ;
c)    应及时删除或停用多余的、过期的账户,避免共享账户的存在 ;

--- EXCERPT ---

9 . 1 . 4 . 2    访问控制
b)   应重命名或删除默认账户,修改默认账户的默认口令 ;
c)    应及时删除或停用多余的、过期的账户,避免共享账户的存在 ;",,,
GB22239-FW-021,GB/T 22239—2019,requirement-control,管理用户最小权限和权限分离,Extracted,3,7.1.4.2 d | 8.1.4.2 d | 9.1.4.2 d,"7 . 1 . 4 . 2    访问控制
d)   应授予管理用户所需的最小权限,实现管理用户的权限分离。

--- EXCERPT ---

8 . 1 . 4 . 2    访问控制
d)   应授予管理用户所需的最小权限,实现管理用户的权限分离 ;

--- EXCERPT ---

9 . 1 . 4 . 2    访问控制
d)   应授予管理用户所需的最小权限,实现管理用户的权限分离 ;",,,
